数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
1,1,0.5,0.7,8,4.8,57.1000656,29.81171154,17.15467555,0.945628976,,,,,,,17154.67555,945.6289763
2,3,0.5,0.7,8,4.8,54.66046051,44.80085682,17.15467555,0.873091332,,,,,,,17154.67555,873.0913317
3,1,0.5,0.7,9,4.8,63.91894309,32.64214201,19.71795869,1.072908253,,,,,,,19717.95869,1072.908253
4,3,0.5,0.7,9,4.8,65.39936018,45.91128252,19.71795869,1.016218391,,,,,,,19717.95869,1016.218391
5,1,0.5,0.7,10,4.8,78.0910534,23.61307171,22.368697,1.250683554,,,,,,,22368.697,1250.683554
6,3,0.5,0.7,10,4.8,74.09399215,44.46193153,22.368697,1.158532402,,,,,,,22368.697,1158.532402
7,1,0.5,0.9,8,4.8,59.38468622,19.54698449,17.32729571,0.790695931,,,,,,,17327.29571,790.6959312
8,3,0.5,0.9,8,4.8,57.54514116,37.48686779,17.32729571,0.721238288,,,,,,,17327.29571,721.2382883
9,1,0.5,0.9,9,4.8,68.18383657,22.68191503,19.91269334,0.897419524,,,,,,,19912.69334,897.419524
10,3,0.5,0.9,9,4.8,71.75577183,34.93064176,19.91269334,0.827309337,,,,,,,19912.69334,827.3093371
11,1,0.5,0.9,10,4.8,76.06624678,20.05065615,22.58569814,1.028033698,,,,,,,22585.69814,1028.033698
12,3,0.5,0.9,10,4.8,74.61071999,36.3271897,22.58569814,0.941022597,,,,,,,22585.69814,941.0225973
13,1,0.5,1.1,8,4.8,59.52664816,20.09324244,17.49987165,0.692702712,,,,,,,17499.87165,692.702712
14,3,0.5,1.1,8,4.8,58.7017584,30.44126363,17.49987165,0.624219655,,,,,,,17499.87165,624.219655
15,1,0.5,1.1,9,4.8,64.75654531,18.39167794,20.10736863,0.783203841,,,,,,,20107.36863,783.2038406
16,3,0.5,1.1,9,4.8,65.68380122,29.55497781,20.10736863,0.708742571,,,,,,,20107.36863,708.7425705
17,1,0.5,1.1,10,4.8,72.27859891,25.86336333,22.80262232,0.885244804,,,,,,,22802.62232,885.2448036
