k1,k2,k3,k4,r2,best_r2
0.000119684,1.05E-07,0.048193904,0.687065076,0.936534649,0.936534649
1.23E-06,9.87E-09,2.14E-10,4.26E-06,0.941627753,0.941627753
0.000170986,1.35E-09,0.000582273,3.89E-07,0.952811849,0.952811849
1.45E-10,4.10E-06,3.27E-09,0.195684819,0.942721617,0.952811849
1.07E-08,0.039073959,1.16E-06,1.46E-08,0.935926819,0.952811849
1.98E-05,2.83E-10,0.009209188,0.002671587,0.937383413,0.952811849
2.15E-09,1.51E-06,0.82834831,4.98E-05,0.935988909,0.952811849
0.172875492,0.00034324,3.80E-05,0.093682085,0.936448312,0.952811849
0.000710879,8.58E-08,0.463536319,2.21E-08,0.937695134,0.952811849
1.35E-09,1.19E-09,0.004673178,0.857891033,0.936630517,0.952811849
3.06E-06,1.90E-06,0.002554666,0.974418003,0.945265102,0.952811849
9.21E-05,1.25E-09,5.00E-10,0.003258448,0.935337263,0.952811849
8.22E-09,0.155759148,4.76E-05,1.25E-07,0.936064959,0.952811849
4.03E-09,1.99E-06,9.01E-08,6.34E-06,0.950440627,0.952811849
0.00526621,5.72E-06,1.58E-05,4.15E-07,0.942517853,0.952811849
0.355793704,4.69E-08,1.35E-05,0.005158522,0.935150415,0.952811849
0.05029494,8.52E-08,9.86E-10,0.042820546,0.935340846,0.952811849
0.683820375,4.09E-07,7.92E-10,5.97E-06,0.937010223,0.952811849
3.41E-09,6.33E-10,0.010232197,0.002316795,0.936892897,0.952811849
0.004148113,4.32E-07,9.07E-07,2.22E-05,0.936784464,0.952811849
3.03E-07,3.11E-05,0.476531614,0.539531885,0.934827006,0.952811849
1.37E-07,0.301755261,4.85E-08,0.00010677,0.936325878,0.952811849
1.84E-09,0.093454825,4.04E-09,2.59E-08,0.967366159,0.967366159
4.10E-07,0.59112944,6.54E-08,1.57E-05,0.937852061,0.967366159
6.66E-07,1.22E-09,8.32E-09,0.08901173,0.936453325,0.967366159
0.011682969,0.035404189,0.671093401,1.42E-07,0.937139976,0.967366159
3.02E-05,3.70E-06,0.001292157,1.72E-09,0.937681943,0.967366159
0.009216008,1.40E-05,1.10E-08,2.54E-06,0.937382853,0.967366159
0.003896324,0.008574786,3.59E-10,3.33E-06,0.986352152,0.977352152
2.25E-08,0.014869042,0.001377579,0.029870402,0.937260449,0.977352152
0.018014564,0.470113121,1.73E-05,0.008583847,0.936077708,0.977352152
2.43E-09,3.22E-06,0.02118687,2.14E-09,0.93826617,0.977352152
0.073577164,3.50E-07,9.14E-08,0.268100476,0.956664747,0.977352152
0.000296798,2.57E-09,0.001813717,0.485649463,0.964245516,0.977352152
2.76E-08,6.55E-09,0.022687544,0.012836025,0.935163456,0.977352152
2.54E-08,1.41E-09,0.014427656,2.03E-10,0.937555414,0.977352152
1.32E-09,1.17E-10,0.00521644,1.07E-07,0.951484412,0.977352152
6.76E-08,9.62E-08,0.006079203,0.002048735,0.93690486,0.977352152
0.020179656,7.34E-08,2.41E-10,0.024441251,0.937350947,0.977352152
6.09E-05,3.76E-10,0.000283342,0.008789241,0.937458408,0.977352152
0.030055868,0.027472887,0.399651914,3.91E-06,0.935791224,0.977352152
7.11E-05,2.17E-08,3.44E-06,0.068789856,0.954717934,0.977352152
0.476351956,0.072825365,2.83E-10,2.26E-10,0.953479522,0.977352152
6.12E-06,4.40E-09,1.03E-05,7.10E-05,0.936090863,0.977352152
1.03E-07,3.40E-06,2.06E-06,0.003284619,0.936195582,0.977352152
3.94E-09,5.75E-08,0.000379631,6.09E-07,0.936703783,0.977352152
0.001287836,0.000354302,0.497612763,0.134339586,0.967175949,0.977352152
4.10E-09,4.83E-07,0.092886907,5.63E-09,0.959592211,0.977352152
3.76E-06,0.005399435,4.96E-08,8.38E-07,0.936510324,0.977352152
5.86E-10,0.498587363,3.01E-09,0.037038128,0.978620225,0.977352152
0.503610346,1.43E-10,8.09E-09,1.01E-10,0.950762469,0.977352152
0.001767545,0.006334684,0.000397787,0.193757645,0.936697799,0.977352152
5.79E-08,1.92E-07,3.33E-07,9.47E-08,0.968470913,0.977352152
1.75E-09,6.68E-09,4.66E-07,2.93E-10,0.939737797,0.977352152
0.389097592,6.69E-07,0.000184546,2.12E-08,0.938435262,0.977352152
1.50E-09,0.139208699,1.51E-09,0.130981627,0.936382407,0.977352152
3.47E-09,2.85E-08,4.24E-07,2.94E-05,0.935699481,0.977352152
7.10E-05,1.24E-07,0.013999757,6.50E-07,0.935669404,0.977352152
0.236377666,5.04E-07,0.091831866,2.61E-06,0.937620354,0.977352152
5.23E-05,0.000261288,0.000292554,1.15E-07,0.936332345,0.977352152
5.09E-06,5.35E-09,1.15E-05,6.12E-07,0.937477499,0.977352152
0.014005092,6.31E-05,1.12E-07,4.76E-10,0.936733812,0.977352152
6.52E-07,0.295986735,8.00E-08,0.012458496,0.937728453,0.977352152
0.02738936,1.02E-06,0.046617314,1.04E-09,0.969889349,0.977352152
0.533129577,0.000115709,0.144945972,8.17E-05,0.966360092,0.977352152
3.87E-05,9.71E-06,0.021854227,4.20E-06,0.956991601,0.977352152
0.165914386,0.000131021,7.70E-08,0.373226676,0.957382578,0.977352152
0.000134586,4.96E-09,1.39E-08,0.866643655,0.935032928,0.977352152
6.34E-07,0.001528438,2.64E-10,2.77E-08,0.937893802,0.977352152
0.000492097,7.85E-09,3.66E-07,0.054898685,0.96505748,0.977352152
0.002145823,3.10E-09,1.86E-09,6.40E-06,0.940203315,0.977352152
0.033788175,0.009703479,0.001769278,1.49E-07,0.9383618,0.977352152
3.40E-08,4.38E-07,0.001686536,0.275143271,0.93561703,0.977352152
4.19E-08,0.37692335,0.261630958,0.189141983,0.950859529,0.977352152
1.83E-10,1.86E-06,1.48E-08,4.65E-05,0.967659336,0.977352152
3.28E-07,3.42E-05,2.28E-07,0.003318861,0.936989516,0.977352152
8.06E-06,4.83E-08,0.771148603,2.99E-05,0.937411368,0.977352152
0.004936391,1.72E-07,2.28E-05,3.31E-08,0.93780216,0.977352152
1.25E-10,0.916792478,1.30E-08,0.000473884,0.954161668,0.977352152
1.18E-06,0.012038873,2.22E-06,2.90E-07,0.959820235,0.977352152
0.000152383,1.11E-06,0.000319416,0.000451595,0.963639742,0.977352152
2.53E-06,6.45E-07,0.00931697,1.60E-06,0.960997915,0.977352152
1.28E-09,6.26E-06,5.52E-09,0.000290256,0.937359369,0.977352152
5.36E-10,1.58E-09,3.02E-09,0.002753743,0.936084127,0.977352152
0.002096515,9.14E-10,4.23E-05,1.17E-07,0.936050785,0.977352152
1.14E-07,0.064135264,1.63E-05,1.57E-09,0.936846614,0.977352152
0.084081611,2.75E-05,1.91E-08,0.019881993,0.93605305,0.977352152
0.876543156,1.98E-09,4.26E-09,2.99E-09,0.93615061,0.977352152
0.186091387,0.00726566,2.94E-09,3.59E-05,0.937314856,0.977352152
0.000202622,2.71E-07,0.000160371,5.59E-10,0.953924024,0.977352152
1.16E-09,0.003225914,0.040905013,1.05E-09,0.936038429,0.977352152
2.09E-06,0.020362036,1.12E-07,3.05E-07,0.937462425,0.977352152
1.29E-08,0.000169538,5.48E-10,3.23E-08,0.968593073,0.977352152
0.000130664,0.015067516,0.148006011,3.62E-10,0.936246932,0.977352152
1.39E-06,1.10E-06,3.34E-07,0.019242395,0.934640008,0.977352152
0.000101827,1.13E-08,9.18E-08,0.198665967,0.938295186,0.977352152
0.001038521,0.561738888,0.002422666,3.63E-05,0.937690312,0.977352152
0.014988802,1.10E-05,0.370393626,0.000149554,0.938021612,0.977352152
2.29E-09,2.08E-08,0.013821382,2.18E-08,0.936470681,0.977352152
0.00538476,9.48E-07,3.42E-06,0.01107395,0.937213933,0.977352152
