数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力(解析法),推力波动（解析法）,铜损（解析法）
1,1,0.5,0.7,8,4.8,57.75447198,31.71411129,17.38962291
2,3,0.5,0.7,8,4.8,47.60884642,25.95380421,17.38962291
3,1,0.5,0.7,9,4.8,65.44972573,20.9207825,19.56583905
4,3,0.5,0.7,9,4.8,53.93116411,29.53105695,19.56583905
5,1,0.5,0.7,10,4.8,73.27528236,23.48989176,21.74261369
6,3,0.5,0.7,10,4.8,60.36051073,19.2377378,21.74261369
7,1,0.5,0.9,8,4.8,49.24807031,26.88449429,17.51830254
8,3,0.5,0.9,8,4.8,40.62922728,21.99103728,17.51830254
9,1,0.5,0.9,9,4.8,55.79221263,30.58760171,19.71060364
10,3,0.5,0.9,9,4.8,46.00704227,25.03241585,19.71060364
11,1,0.5,0.9,10,4.8,62.44714424,19.92475629,21.90346323
12,3,0.5,0.9,10,4.8,51.47587501,28.1249919,21.90346323
13,1,0.5,1.1,8,4.8,45.48479639,24.74784798,17.58264236
14,3,0.5,1.1,8,4.8,37.54083608,20.23756416,17.58264236
15,1,0.5,1.1,9,4.8,51.51968136,28.16202254,19.78298593
16,3,0.5,1.1,9,4.8,42.50072085,23.04182534,19.78298593
17,1,0.5,1.1,10,4.8,57.65672269,31.63366007,21.98388801
18,3,0.5,1.1,10,4.8,47.54453862,25.89329884,21.98388801
19,1,0.5,1.3,8,4.8,42.01450423,22.77754577,17.64698218
20,3,0.5,1.3,8,4.8,34.6925503,18.62041393,17.64698218
21,1,0.5,1.3,9,4.8,47.579779,25.92528174,19.85536823
22,3,0.5,1.3,9,4.8,39.26699662,21.2059923,19.85536823
23,1,0.5,1.3,10,4.8,53.23924933,29.1260027,22.06431278
24,3,0.5,1.3,10,4.8,43.91884199,23.83510764,22.06431278
25,1,0.5,0.7,8,5.2,67.41926712,21.55275928,17.90434145
26,3,0.5,0.7,8,5.2,55.58205018,30.44658958,17.90434145
27,1,0.5,0.7,9,5.2,76.42163515,24.50648267,20.1448974
28,3,0.5,0.7,9,5.2,62.98270536,20.08620587,20.1448974
29,1,0.5,0.7,10,5.2,85.57630937,27.50989595,22.38601187
30,3,0.5,0.7,10,5.2,70.50854212,22.55423027,22.38601187
31,1,0.5,0.9,8,5.2,57.45986976,31.51157316,18.03302108
32,3,0.5,0.9,8,5.2,47.40353585,25.8082401,18.03302108
33,1,0.5,0.9,9,5.2,65.11461572,20.78742494,20.28966199
34,3,0.5,0.9,9,5.2,53.69754311,29.36580859,20.28966199
35,1,0.5,0.9,10,5.2,72.89884623,23.34038179,22.54686141
36,3,0.5,0.9,10,5.2,60.09799115,32.98325003,22.54686141
37,1,0.5,1.1,8,5.2,53.05414566,29.01291787,18.0973609
38,3,0.5,1.1,8,5.2,43.78506953,23.75606891,18.0973609
39,1,0.5,1.1,9,5.2,60.11274601,19.1422308,20.36204429
40,3,0.5,1.1,9,5.2,49.58945629,27.0361279,20.36204429
41,1,0.5,1.1,10,5.2,67.29073534,21.49591988,22.62728618
42,3,0.5,1.1,10,5.2,55.49199223,30.3713958,22.62728618
43,1,0.5,1.3,8,5.2,48.99163743,26.70891348,18.16170072
44,3,0.5,1.3,8,5.2,40.44816879,21.86358439,18.16170072
45,1,0.5,1.3,9,5.2,55.50053327,30.38827758,20.43442658
46,3,0.5,1.3,9,5.2,45.80103415,24.88772785,20.43442658
47,1,0.5,1.3,10,5.2,62.11950897,19.79514573,22.70771095
48,3,0.5,1.3,10,5.2,51.24440229,27.96277913,22.70771095
49,1,0.5,0.7,8,5.6,77.56342095,24.86772492,18.41905999
50,3,0.5,0.7,8,5.6,63.95283534,20.39453797,18.41905999
51,1,0.5,0.7,9,5.6,87.93772562,28.26972207,20.72395576
52,3,0.5,0.7,9,5.6,72.48559151,23.19163825,20.72395576
53,1,0.5,0.7,10,5.6,98.48742925,31.72894313,23.02941004
54,3,0.5,0.7,10,5.6,81.16258546,26.03579611,23.02941004
55,1,0.5,0.9,8,5.6,66.07787814,21.0929439,18.54773962
56,3,0.5,0.9,8,5.6,54.51473341,29.81492867,18.54773962
57,1,0.5,0.9,9,5.6,74.89815827,23.98448772,20.86872035
58,3,0.5,0.9,9,5.6,61.77048924,19.67030023,20.86872035
59,1,0.5,0.9,10,5.6,83.86754142,26.92467639,23.19025958
60,3,0.5,0.9,10,5.6,69.1488745,22.08794968,23.19025958
61,1,0.5,1.1,8,5.6,60.99742908,19.42322894,18.61207944
62,3,0.5,1.1,8,5.6,50.33941421,27.44899848,18.61207944
63,1,0.5,1.1,9,5.6,69.13031092,22.08898176,20.94110265
64,3,0.5,1.1,9,5.6,57.03023824,31.22844226,20.94110265
65,1,0.5,1.1,10,5.6,77.40066418,24.79958462,23.27068436
66,3,0.5,1.1,10,5.6,63.83413237,20.34146303,23.27068436
67,1,0.5,1.3,8,5.6,56.31299502,30.83390739,18.67641926
68,3,0.5,1.3,8,5.6,46.48924939,25.2673159,18.67641926
69,1,0.5,1.3,9,5.6,63.81206044,20.34122824,21.01348494
70,3,0.5,1.3,9,5.6,52.65913586,28.75173669,21.01348494
71,1,0.5,1.3,10,5.6,71.43787237,22.84014124,23.35110913
72,3,0.5,1.3,10,5.6,58.93327755,32.29480105,23.35110913
73,1,0.5,0.7,8,6,88.18665024,28.33898841,18.93377853
74,3,0.5,0.7,8,6,72.72052289,23.25953449,18.93377853
75,1,0.5,0.7,9,6,99.99767561,32.21039506,21.30301412
76,3,0.5,0.7,9,6,82.43905181,26.44406043,21.30301412
77,1,0.5,0.7,10,6,112.0082815,36.14691485,23.67280822
78,3,0.5,0.7,10,6,92.32177668,29.68215531,23.67280822
79,1,0.5,0.9,8,6,75.1018477,24.04161971,19.06245817
80,3,0.5,0.9,8,6,61.96225301,19.72625593,19.06245817
81,1,0.5,0.9,9,6,85.14255899,27.33190491,21.44777871
82,3,0.5,0.9,9,6,70.22523711,22.43298626,21.44777871
83,1,0.5,0.9,10,6,95.35291442,30.67753651,23.83365776
84,3,0.5,0.9,10,6,78.62780359,25.18525533,23.83365776
85,1,0.5,1.1,8,6,69.31441495,22.14088546,19.12679798
86,3,0.5,1.1,8,6,57.20335192,31.31606309,19.12679798
87,1,0.5,1.1,9,6,78.57211301,25.17413955,21.520161
88,3,0.5,1.1,9,6,64.82247842,20.6586949,21.520161
89,1,0.5,1.1,10,6,87.98621428,28.25842019,23.91408253
90,3,0.5,1.1,10,6,72.57029954,23.19605981,23.91408253
91,1,0.5,1.3,8,6,63.97836027,20.38839479,19.1911378
92,3,0.5,1.3,8,6,52.81531833,28.83134345,19.1911378
93,1,0.5,1.3,9,6,72.51411449,23.18466435,21.5925433
94,3,0.5,1.3,9,6,59.84076391,32.79771797,21.5925433
95,1,0.5,1.3,10,6,81.19406369,26.02797752,23.9945073
96,3,0.5,1.3,10,6,66.98486483,21.36188495,23.9945073
97,1,0.5,0.7,8,6.4,99.28873974,31.96647924,19.44849707
98,3,0.5,0.7,8,6.4,81.88461109,26.25384916,19.44849707
99,1,0.5,0.7,9,6.4,112.6012407,36.32842158,21.88207248
100,3,0.5,0.7,9,6.4,92.8425167,29.84328811,21.88207248
